RunID,User,Problem,Result,Memory,Time,Code Length,Submit Time
6711,a313006bf93b0ed42436626faa27d724,B,Runtime Error,13508,472,1106 B,2018/5/17 13:25
6710,18d5f25dcfbf7d3fb351432e5f43b71c,G,Compile Error,0,0,1204 B,2018/5/17 12:57
6709,18d5f25dcfbf7d3fb351432e5f43b71c,G,Wrong Answer,6832,640,1447 B,2018/5/17 12:38
6708,18d5f25dcfbf7d3fb351432e5f43b71c,G,Time Limit Exceed,7172,4000,1354 B,2018/5/17 12:34
6707,a313006bf93b0ed42436626faa27d724,B,Wrong Answer,13520,504,701 B,2018/5/17 12:21
6706,a313006bf93b0ed42436626faa27d724,B,Wrong Answer,13248,512,667 B,2018/5/17 12:20
6705,85db69dd5f62e8848f011a889e2e6b92,B,Runtime Error,13516,504,919 B,2018/5/17 12:10
6704,a313006bf93b0ed42436626faa27d724,A,Accepted,8292,272,676 B,2018/5/17 11:45
6703,8e21dfee8596cce54d231e84a3b7f173,B,Accepted,14852,2860,898 B,2018/5/17 11:41
6702,8e21dfee8596cce54d231e84a3b7f173,B,Wrong Answer,14084,572,917 B,2018/5/17 11:36
6701,8e21dfee8596cce54d231e84a3b7f173,B,Wrong Answer,14380,592,898 B,2018/5/17 11:29
6700,9b307c918011d9bd353a84bd3946c692,G,Accepted,10496,3284,709 B,2018/5/17 10:37
6699,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,7496,1204,515 B,2018/5/17 10:24
6698,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,8272,1204,521 B,2018/5/17 10:19
6697,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,7716,1212,521 B,2018/5/17 10:18
6696,6c3b8e9138887244642290a8306a8489,F,Accepted,30840,2744,3077 B,2018/5/17 10:13
6695,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,8324,1256,530 B,2018/5/17 10:10
6694,9b307c918011d9bd353a84bd3946c692,G,Time Limit Exceed,7624,4000,517 B,2018/5/17 10:08
6693,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,7660,1376,494 B,2018/5/17 10:05
6692,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,7440,1324,530 B,2018/5/17 10:03
6691,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,7504,1272,535 B,2018/5/17 9:58
6690,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,7724,1212,521 B,2018/5/17 9:55
6689,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,8320,3680,521 B,2018/5/17 9:54
6688,6c3b8e9138887244642290a8306a8489,F,Time Limit Exceed,38072,3000,2779 B,2018/5/17 9:54
6687,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,7480,3740,522 B,2018/5/17 9:51
6686,9b307c918011d9bd353a84bd3946c692,G,Compile Error,0,0,659 B,2018/5/17 9:50
6685,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,8296,3788,522 B,2018/5/17 9:43
6684,5780a2c3e2eeda2b73215dd6b5d491f7,C,*Accepted6509(100%),8268,1544,730 B,2018/5/17 9:05
6683,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,7668,3752,522 B,2018/5/17 9:00
6682,bcc9cc0c8889a34e9bcf5afaaed0e07a,F,Accepted,14296,1976,1682 B,2018/5/17 8:53
6681,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,7688,1216,429 B,2018/5/17 8:48
6680,9b307c918011d9bd353a84bd3946c692,G,Compile Error,0,0,429 B,2018/5/17 8:42
6679,9b307c918011d9bd353a84bd3946c692,G,Compile Error,0,0,431 B,2018/5/17 8:39
6678,5780a2c3e2eeda2b73215dd6b5d491f7,B,*Accepted6454(100%),17220,2132,930 B,2018/5/17 8:26
6677,5780a2c3e2eeda2b73215dd6b5d491f7,B,Compile Error,0,0,1343 B,2018/5/17 8:23
